1.00	1.00	1.00	0.03	0.00	-2.73	-1.57	48.33	-2.83	-1.63	50.32	-2.65	-1.71	48.33	0.00	0.00	0.00
1.00	1.00	1.00	0.06	0.00	-2.65	-1.71	48.33	-2.83	-1.63	50.32	-2.60	-2.04	50.32	0.00	0.00	0.00
1.00	1.00	1.00	0.12	0.00	-2.83	-1.63	50.32	-2.94	-1.69	52.32	-2.60	-2.04	50.32	0.00	0.00	0.00
1.00	1.00	1.00	0.15	0.00	-2.60	-2.04	50.32	-2.94	-1.69	52.32	-2.59	-2.28	52.32	0.00	0.00	0.00
1.00	1.00	1.00	0.22	0.00	-2.94	-1.69	52.32	-3.04	-1.75	54.32	-2.59	-2.28	52.32	0.00	0.00	0.00
1.00	1.00	1.00	0.25	0.00	-2.59	-2.28	52.32	-3.04	-1.75	54.32	-2.67	-2.39	54.32	0.00	0.00	0.00
1.00	1.00	1.00	0.31	0.00	-3.04	-1.75	54.32	-3.14	-1.81	56.31	-2.67	-2.39	54.32	0.00	0.00	0.00
1.00	1.00	1.00	0.34	0.00	-2.67	-2.39	54.32	-3.14	-1.81	56.31	-2.78	-2.45	56.31	0.00	0.00	0.00
1.00	1.00	1.00	0.40	0.00	-3.14	-1.81	56.31	-3.25	-1.87	58.31	-2.78	-2.45	56.31	0.00	0.00	0.00
1.00	1.00	1.00	0.43	0.00	-2.78	-2.45	56.31	-3.25	-1.87	58.31	-2.89	-2.49	58.31	0.00	0.00	0.00
1.00	1.00	1.00	0.49	0.00	-3.25	-1.87	58.31	-3.35	-1.93	60.31	-2.89	-2.49	58.31	0.00	0.00	0.00
1.00	1.00	1.00	0.52	0.00	-2.89	-2.49	58.31	-3.35	-1.93	60.31	-3.01	-2.53	60.31	0.00	0.00	0.00
1.00	1.00	1.00	0.59	0.00	-3.35	-1.93	60.31	-3.45	-1.99	62.30	-3.01	-2.53	60.31	0.00	0.00	0.00
1.00	1.00	1.00	0.62	0.00	-3.01	-2.53	60.31	-3.45	-1.99	62.30	-3.15	-2.52	62.30	0.00	0.00	0.00
